Customer ID,Cluster_category,RFM_category
AA-10315,1,Low Value Customer
AA-10375,1,Low Value Customer
AA-10645,1,Lost Customer
AB-10015,0,High Value Customer
AB-10060,2,High Value Customer
AB-10105,1,Lost Customer
AB-10150,0,High Value Customer
AB-10165,0,High Value Customer
AB-10255,1,Low Value Customer
AB-10600,0,High Value Customer
AC-10420,0,High Value Customer
AC-10450,0,High Value Customer
AC-10615,2,High Value Customer
AD-10180,0,High Value Customer
AF-10870,0,High Value Customer
AF-10885,0,High Value Customer
AG-10300,0,High Value Customer
AG-10330,0,High Value Customer
AG-10390,0,High Value Customer
AG-10495,0,High Value Customer
AG-10525,1,Low Value Customer
AG-10675,1,Low Value Customer
AG-10765,0,High Value Customer
AG-10900,1,Low Value Customer
AH-10120,0,High Value Customer
AH-10195,0,High Value Customer
AH-10210,1,Low Value Customer
AH-10465,1,Low Value Customer
AH-10585,0,High Value Customer
AH-10690,2,Low Value Customer
AI-10855,1,High Value Customer
AJ-10795,1,Low Value Customer
AJ-10945,1,Low Value Customer
AM-10360,0,High Value Customer
AM-10705,0,High Value Customer
AP-10720,0,High Value Customer
AP-10915,2,High Value Customer
AR-10345,0,High Value Customer
AR-10540,0,High Value Customer
AR-10825,1,Low Value Customer
AS-10045,1,Low Value Customer
AS-10090,2,High Value Customer
AS-10225,0,High Value Customer
AS-10285,0,High Value Customer
AS-10630,0,High Value Customer
AT-10435,0,High Value Customer
AT-10735,0,High Value Customer
AW-10840,0,High Value Customer
AW-10930,1,Low Value Customer
AZ-10750,1,Low Value Customer
BB-10990,1,Low Value Customer
BB-11545,2,Top Customer
BC-11125,1,Low Value Customer
BD-11320,0,High Value Customer
BD-11605,1,Lost Customer
BD-11620,0,High Value Customer
BD-11635,0,High Value Customer
BD-11725,0,High Value Customer
BD-11770,1,Low Value Customer
BE-11335,0,High Value Customer
BE-11410,0,High Value Customer
BE-11455,1,Lost Customer
BF-10975,0,High Value Customer
BF-11005,0,High Value Customer
BF-11020,3,Top Customer
BF-11080,0,High Value Customer
BF-11170,0,High Value Customer
BF-11215,0,High Value Customer
BF-11275,0,High Value Customer
BG-11035,0,High Value Customer
BG-11695,0,High Value Customer
BG-11740,0,High Value Customer
BH-11710,1,Low Value Customer
BK-11260,0,High Value Customer
BM-11140,1,Lost Customer
BM-11575,0,High Value Customer
BM-11650,1,Low Value Customer
BM-11785,1,Low Value Customer
BN-11470,0,High Value Customer
BN-11515,0,High Value Customer
BO-11350,2,Top Customer
BO-11425,0,High Value Customer
BP-11050,0,High Value Customer
BP-11155,0,High Value Customer
BP-11185,2,Top Customer
BP-11290,0,High Value Customer
BS-11380,2,High Value Customer
BS-11590,0,High Value Customer
BS-11755,0,High Value Customer
BS-11800,0,High Value Customer
BT-11305,0,High Value Customer
BT-11395,0,High Value Customer
BT-11485,0,High Value Customer
BT-11680,3,High Value Customer
BW-11065,0,High Value Customer
BW-11110,0,High Value Customer
BW-11200,0,High Value Customer
CA-11965,0,High Value Customer
CA-12055,1,Low Value Customer
CA-12265,1,Low Value Customer
CA-12310,0,High Value Customer
CA-12775,1,Low Value Customer
CB-12025,0,High Value Customer
CB-12415,1,Low Value Customer
CB-12535,2,High Value Customer
CC-12100,0,High Value Customer
CC-12145,0,High Value Customer
CC-12220,2,High Value Customer
CC-12370,0,High Value Customer
CC-12430,1,Low Value Customer
CC-12475,1,Low Value Customer
CC-12550,0,High Value Customer
CC-12610,0,High Value Customer
CC-12670,1,Low Value Customer
CC-12685,1,Low Value Customer
CD-11980,0,High Value Customer
CD-12280,1,Low Value Customer
CG-12040,0,High Value Customer
CG-12520,0,High Value Customer
CH-12070,0,High Value Customer
CJ-12010,2,High Value Customer
CK-12205,1,Low Value Customer
CK-12325,0,High Value Customer
CK-12595,3,Top Customer
CK-12760,0,High Value Customer
CL-11890,0,High Value Customer
CL-12565,1,Low Value Customer
CM-11815,0,High Value Customer
CM-12115,0,High Value Customer
CM-12160,0,High Value Customer
CM-12190,0,High Value Customer
CM-12235,1,Low Value Customer
CM-12385,0,High Value Customer
CM-12655,1,Low Value Customer
CM-12715,0,High Value Customer
CP-12085,0,High Value Customer
CP-12340,0,High Value Customer
CR-12580,0,High Value Customer
CR-12730,0,High Value Customer
CR-12820,0,High Value Customer
CS-11845,0,High Value Customer
CS-11860,0,High Value Customer
CS-11950,0,High Value Customer
CS-12175,0,High Value Customer
CS-12250,1,Low Value Customer
CS-12355,1,Low Value Customer
CS-12400,1,Low Value Customer
CS-12460,0,High Value Customer
CS-12490,1,Low Value Customer
CS-12505,0,High Value Customer
CT-11995,0,High Value Customer
CV-12295,0,High Value Customer
CV-12805,1,Low Value Customer
CW-11905,0,High Value Customer
CY-12745,0,High Value Customer
Co-12640,0,High Value Customer
DA-13450,0,High Value Customer
DB-12910,1,Low Value Customer
DB-12970,0,High Value Customer
DB-13060,0,High Value Customer
DB-13120,1,Lost Customer
DB-13210,2,Top Customer
DB-13270,1,Low Value Customer
DB-13360,0,High Value Customer
DB-13405,0,High Value Customer
DB-13555,1,Low Value Customer
DB-13615,1,Low Value Customer
DB-13660,0,High Value Customer
DC-12850,0,High Value Customer
DC-13285,0,High Value Customer
DD-13570,0,High Value Customer
DE-13255,0,High Value Customer
DG-13300,1,Low Value Customer
DH-13075,0,High Value Customer
DJ-13420,0,High Value Customer
DJ-13510,0,High Value Customer
DK-12835,1,High Value Customer
DK-12895,2,High Value Customer
DK-12985,1,Low Value Customer
DK-13090,1,Low Value Customer
DK-13225,2,High Value Customer
DK-13375,1,Low Value Customer
DL-12865,0,High Value Customer
DL-12925,1,Lost Customer
DL-13315,2,Top Customer
DL-13330,0,High Value Customer
DL-13495,0,High Value Customer
DM-12955,0,High Value Customer
DM-13015,1,Low Value Customer
DM-13345,0,High Value Customer
DM-13525,1,Low Value Customer
DO-13435,0,High Value Customer
DO-13645,1,Low Value Customer
DP-13000,0,High Value Customer
DP-13105,0,High Value Customer
DP-13165,0,High Value Customer
DP-13390,0,High Value Customer
DR-12940,1,Lost Customer
DS-13030,0,High Value Customer
DS-13180,1,Low Value Customer
DV-13045,0,High Value Customer
DV-13465,2,High Value Customer
DW-13480,0,High Value Customer
DW-13540,0,High Value Customer
DW-13585,0,High Value Customer
Dl-13600,0,High Value Customer
Dp-13240,3,Top Customer
EA-14035,1,Low Value Customer
EB-13705,0,High Value Customer
EB-13750,2,High Value Customer
EB-13840,0,High Value Customer
EB-13870,0,High Value Customer
EB-13975,0,High Value Customer
EB-14110,0,High Value Customer
EB-14170,0,High Value Customer
EC-14050,0,High Value Customer
ED-13885,0,High Value Customer
EG-13900,1,Low Value Customer
EH-13765,1,Low Value Customer
EH-13945,0,High Value Customer
EH-14005,0,High Value Customer
EH-14125,0,High Value Customer
EH-14185,0,High Value Customer
EJ-13720,0,High Value Customer
EJ-14155,1,Low Value Customer
EM-13810,0,High Value Customer
EM-13825,0,High Value Customer
EM-13960,1,Low Value Customer
EM-14065,0,High Value Customer
EM-14095,1,Low Value Customer
EM-14140,2,High Value Customer
EN-13780,0,High Value Customer
EP-13915,3,Top Customer
ER-13855,0,High Value Customer
ES-14020,0,High Value Customer
ES-14080,0,High Value Customer
FA-14230,1,Lost Customer
FC-14245,1,Low Value Customer
FC-14335,0,High Value Customer
FG-14260,0,High Value Customer
FH-14275,2,Top Customer
FH-14350,0,High Value Customer
FH-14365,0,High Value Customer
FM-14215,1,Low Value Customer
FM-14290,2,Top Customer
FM-14380,2,Low Value Customer
FO-14305,1,Low Value Customer
FP-14320,1,Low Value Customer
FW-14395,0,High Value Customer
GA-14515,0,High Value Customer
GA-14725,0,High Value Customer
GB-14530,1,Lost Customer
GB-14575,1,Low Value Customer
GD-14590,0,High Value Customer
GG-14650,1,Low Value Customer
GH-14410,1,Low Value Customer
GH-14425,1,Lost Customer
GH-14485,0,High Value Customer
GK-14620,0,High Value Customer
GM-14440,0,High Value Customer
GM-14455,0,High Value Customer
GM-14500,0,High Value Customer
GM-14680,0,High Value Customer
GM-14695,0,High Value Customer
GT-14635,0,High Value Customer
GT-14710,1,Low Value Customer
GT-14755,0,High Value Customer
GW-14605,0,High Value Customer
GZ-14470,0,High Value Customer
GZ-14545,0,High Value Customer
HA-14905,1,Low Value Customer
HA-14920,1,Low Value Customer
HD-14785,0,High Value Customer
HE-14800,0,High Value Customer
HF-14995,1,Low Value Customer
HG-14845,0,High Value Customer
HG-14965,0,High Value Customer
HG-15025,0,High Value Customer
HK-14890,0,High Value Customer
HL-15040,0,High Value Customer
HM-14860,1,Low Value Customer
HM-14980,1,Low Value Customer
HP-14815,0,High Value Customer
HR-14770,0,High Value Customer
HW-14935,0,High Value Customer
IG-15085,0,High Value Customer
IL-15100,2,Low Value Customer
IM-15070,2,Low Value Customer
JA-15970,1,Low Value Customer
JB-15400,1,Low Value Customer
JB-15925,0,High Value Customer
JB-16000,0,High Value Customer
JB-16045,1,Low Value Customer
JC-15340,0,High Value Customer
JC-15385,0,High Value Customer
JC-15775,0,High Value Customer
JC-16105,0,High Value Customer
JD-15790,1,Low Value Customer
JD-15895,1,Low Value Customer
JD-16015,0,High Value Customer
JD-16060,0,High Value Customer
JE-15610,2,High Value Customer
JE-15715,2,High Value Customer
JE-15745,0,High Value Customer
JE-16165,1,Low Value Customer
JF-15190,2,Top Customer
JF-15295,0,High Value Customer
JF-15355,0,High Value Customer
JF-15415,1,Low Value Customer
JF-15490,1,Low Value Customer
JF-15565,2,Top Customer
JG-15115,1,Low Value Customer
JG-15160,1,Low Value Customer
JG-15310,0,High Value Customer
JH-15820,0,High Value Customer
JH-15910,0,High Value Customer
JH-15985,1,Low Value Customer
JH-16180,0,High Value Customer
JJ-15445,0,High Value Customer
JJ-15760,0,High Value Customer
JK-15205,0,High Value Customer
JK-15370,0,High Value Customer
JK-15625,0,High Value Customer
JK-15640,0,High Value Customer
JK-15730,0,High Value Customer
JK-16090,0,High Value Customer
JK-16120,1,Low Value Customer
JL-15130,0,High Value Customer
JL-15175,0,High Value Customer
JL-15235,1,Low Value Customer
JL-15505,2,High Value Customer
JL-15835,2,Top Customer
JL-15850,0,High Value Customer
JM-15250,1,Low Value Customer
JM-15265,0,High Value Customer
JM-15535,0,High Value Customer
JM-15580,0,High Value Customer
JM-15655,0,High Value Customer
JM-15865,0,High Value Customer
JM-16195,0,High Value Customer
JO-15145,0,High Value Customer
JO-15280,0,High Value Customer
JO-15550,0,High Value Customer
JP-15460,1,Low Value Customer
JP-15520,0,High Value Customer
JP-16135,1,Low Value Customer
JR-16210,0,High Value Customer
JS-15595,0,High Value Customer
JS-15880,0,High Value Customer
JS-15940,0,High Value Customer
JS-16030,0,High Value Customer
JW-15220,0,High Value Customer
JW-15955,0,High Value Customer
JW-16075,0,High Value Customer
KA-16525,0,High Value Customer
KB-16240,1,Low Value Customer
KB-16315,1,Low Value Customer
KB-16405,0,High Value Customer
KB-16585,1,Lost Customer
KB-16600,0,High Value Customer
KC-16255,0,High Value Customer
KC-16540,0,High Value Customer
KC-16675,0,High Value Customer
KD-16270,1,Lost Customer
KD-16495,3,High Value Customer
KD-16615,0,High Value Customer
KE-16420,0,High Value Customer
KF-16285,2,Top Customer
KH-16360,0,High Value Customer
KH-16510,1,Low Value Customer
KH-16630,0,High Value Customer
KH-16690,0,High Value Customer
KL-16555,1,Low Value Customer
KL-16645,1,Lost Customer
KM-16225,2,High Value Customer
KM-16375,0,High Value Customer
KM-16660,1,Low Value Customer
KM-16720,0,High Value Customer
KN-16390,1,Low Value Customer
KN-16450,0,High Value Customer
KN-16705,0,High Value Customer
KS-16300,0,High Value Customer
KT-16465,0,High Value Customer
KT-16480,0,High Value Customer
KW-16435,0,High Value Customer
KW-16570,0,High Value Customer
LA-16780,0,High Value Customer
LB-16735,0,High Value Customer
LB-16795,3,Top Customer
LC-16870,3,Top Customer
LC-16885,0,High Value Customer
LC-16930,1,Low Value Customer
LC-16960,0,High Value Customer
LC-17050,0,High Value Customer
LC-17140,1,Low Value Customer
LD-17005,0,High Value Customer
LE-16810,0,High Value Customer
LF-17185,1,Low Value Customer
LH-16750,0,High Value Customer
LH-16900,0,High Value Customer
LH-17020,0,High Value Customer
LH-17155,1,Low Value Customer
LL-16840,0,High Value Customer
LM-17065,0,High Value Customer
LO-17170,0,High Value Customer
LP-17080,0,High Value Customer
LP-17095,1,Low Value Customer
LR-16915,1,Lost Customer
LR-17035,0,High Value Customer
LS-16945,0,High Value Customer
LS-16975,1,Low Value Customer
LT-16765,0,High Value Customer
LT-17110,1,Low Value Customer
LW-16825,0,High Value Customer
LW-16990,1,Low Value Customer
LW-17125,0,High Value Customer
LW-17215,1,Low Value Customer
MA-17560,1,Lost Customer
MA-17995,0,High Value Customer
MB-17305,1,Low Value Customer
MB-18085,1,Low Value Customer
MC-17275,0,High Value Customer
MC-17575,1,Low Value Customer
MC-17590,0,High Value Customer
MC-17605,0,High Value Customer
MC-17845,0,High Value Customer
MC-18100,0,High Value Customer
MC-18130,0,High Value Customer
MD-17350,1,Low Value Customer
ME-17320,1,Low Value Customer
ME-17725,0,High Value Customer
MF-17665,0,High Value Customer
MF-18250,1,Low Value Customer
MG-17650,1,Low Value Customer
MG-17680,0,High Value Customer
MG-17695,0,High Value Customer
MG-17875,0,High Value Customer
MG-17890,0,High Value Customer
MG-18145,1,Low Value Customer
MG-18205,0,High Value Customer
MH-17290,0,High Value Customer
MH-17440,0,High Value Customer
MH-17455,0,High Value Customer
MH-17620,0,High Value Customer
MH-17785,0,High Value Customer
MH-18025,0,High Value Customer
MH-18115,0,High Value Customer
MJ-17740,1,Low Value Customer
MK-17905,0,High Value Customer
MK-18160,1,Low Value Customer
ML-17395,0,High Value Customer
ML-17410,0,High Value Customer
ML-17755,1,Low Value Customer
ML-18040,0,High Value Customer
MM-17260,0,High Value Customer
MM-17920,1,Low Value Customer
MM-18055,0,High Value Customer
MM-18280,0,High Value Customer
MN-17935,0,High Value Customer
MO-17500,0,High Value Customer
MO-17800,0,High Value Customer
MO-17950,1,Low Value Customer
MP-17470,1,Low Value Customer
MP-17965,0,High Value Customer
MP-18175,1,Low Value Customer
MR-17545,0,High Value Customer
MS-17365,2,Low Value Customer
MS-17530,0,High Value Customer
MS-17710,0,High Value Customer
MS-17770,0,High Value Customer
MS-17830,0,High Value Customer
MS-17980,1,Low Value Customer
MT-17815,1,Low Value Customer
MT-18070,0,High Value Customer
MV-17485,0,High Value Customer
MV-18190,1,Low Value Customer
MW-18220,0,High Value Customer
MY-17380,0,High Value Customer
MY-18295,1,Low Value Customer
MZ-17335,1,Low Value Customer
MZ-17515,0,High Value Customer
NB-18655,0,High Value Customer
NC-18340,1,Low Value Customer
NC-18415,0,High Value Customer
NC-18535,0,High Value Customer
NC-18625,1,Low Value Customer
ND-18370,0,High Value Customer
ND-18460,0,High Value Customer
NF-18385,0,High Value Customer
NF-18595,1,Low Value Customer
NG-18355,0,High Value Customer
NG-18430,0,High Value Customer
NH-18610,0,High Value Customer
NK-18490,0,High Value Customer
NL-18310,0,High Value Customer
NM-18520,1,Low Value Customer
NP-18325,3,High Value Customer
NP-18670,0,High Value Customer
NP-18685,0,High Value Customer
NP-18700,0,High Value Customer
NR-18550,1,Low Value Customer
NS-18505,0,High Value Customer
NS-18640,3,Top Customer
NW-18400,1,Lost Customer
NZ-18565,1,Low Value Customer
ON-18715,0,High Value Customer
OT-18730,0,High Value Customer
PA-19060,0,High Value Customer
PB-18805,0,High Value Customer
PB-19105,0,High Value Customer
PB-19210,0,High Value Customer
PC-18745,0,High Value Customer
PC-19000,0,High Value Customer
PF-19120,0,High Value Customer
PF-19165,0,High Value Customer
PF-19225,1,Low Value Customer
PG-18820,1,Low Value Customer
PG-18895,0,High Value Customer
PJ-18835,0,High Value Customer
PJ-19015,0,High Value Customer
PK-18910,0,High Value Customer
PK-19075,2,High Value Customer
PM-18940,0,High Value Customer
PM-19135,0,High Value Customer
PN-18775,0,High Value Customer
PO-18850,1,Low Value Customer
PO-18865,0,High Value Customer
PO-19180,2,High Value Customer
PO-19195,0,High Value Customer
PP-18955,3,Top Customer
PR-18880,0,High Value Customer
PS-18760,0,High Value Customer
PS-18970,0,High Value Customer
PS-19045,0,High Value Customer
PT-19090,0,High Value Customer
PV-18985,0,High Value Customer
PW-19030,0,High Value Customer
PW-19240,0,High Value Customer
QJ-19255,1,Low Value Customer
RA-19285,1,Low Value Customer
RA-19885,0,High Value Customer
RA-19945,0,High Value Customer
RB-19360,1,Low Value Customer
RB-19435,0,High Value Customer
RB-19465,1,Low Value Customer
RB-19570,0,High Value Customer
RB-19705,0,High Value Customer
RB-19795,0,High Value Customer
RC-19825,0,High Value Customer
RC-19960,0,High Value Customer
RD-19480,0,High Value Customer
RD-19585,0,High Value Customer
RD-19660,0,High Value Customer
RD-19720,1,Low Value Customer
RD-19810,1,Low Value Customer
RD-19900,0,High Value Customer
RD-19930,0,High Value Customer
RE-19450,0,High Value Customer
RF-19345,0,High Value Customer
RF-19735,0,High Value Customer
RF-19840,0,High Value Customer
RH-19495,0,High Value Customer
RH-19510,0,High Value Customer
RH-19555,0,High Value Customer
RH-19600,2,Low Value Customer
RK-19300,0,High Value Customer
RL-19615,3,Top Customer
RM-19375,0,High Value Customer
RM-19675,0,High Value Customer
RM-19750,0,High Value Customer
RO-19780,1,Low Value Customer
RP-19270,1,Low Value Customer
RP-19390,1,Low Value Customer
RP-19855,0,High Value Customer
RR-19315,0,High Value Customer
RR-19525,0,High Value Customer
RS-19420,0,High Value Customer
RS-19765,0,High Value Customer
RS-19870,0,High Value Customer
RW-19540,1,Low Value Customer
RW-19630,1,Low Value Customer
RW-19690,1,High Value Customer
SA-20830,0,High Value Customer
SB-20210,0,High Value Customer
SB-20225,0,High Value Customer
SB-20290,0,High Value Customer
SC-20020,0,High Value Customer
SC-20050,0,High Value Customer
SC-20095,1,Low Value Customer
SC-20230,0,High Value Customer
SC-20305,0,High Value Customer
SC-20380,0,High Value Customer
SC-20440,0,High Value Customer
SC-20575,0,High Value Customer
SC-20695,1,Low Value Customer
SC-20725,1,Low Value Customer
SC-20770,0,High Value Customer
SC-20800,0,High Value Customer
SC-20845,0,High Value Customer
SE-20110,2,High Value Customer
SF-20065,0,High Value Customer
SF-20200,1,Lost Customer
SF-20965,1,Low Value Customer
SG-20470,0,High Value Customer
SG-20605,1,Low Value Customer
SG-20890,0,High Value Customer
SH-19975,1,Low Value Customer
SH-20395,1,Low Value Customer
SJ-20125,1,Low Value Customer
SJ-20215,0,High Value Customer
SJ-20500,0,High Value Customer
SM-20005,0,High Value Customer
SM-20320,0,High Value Customer
SM-20905,1,Low Value Customer
SM-20950,0,High Value Customer
SN-20560,1,Low Value Customer
SN-20710,0,High Value Customer
SO-20335,2,High Value Customer
SP-20545,0,High Value Customer
SP-20620,2,Top Customer
SP-20650,0,High Value Customer
SP-20860,1,Low Value Customer
SP-20920,0,High Value Customer
SR-20425,0,High Value Customer
SR-20740,0,High Value Customer
SS-20140,0,High Value Customer
SS-20410,0,High Value Customer
SS-20590,0,High Value Customer
SS-20875,0,High Value Customer
ST-20530,0,High Value Customer
SU-20665,1,Low Value Customer
SV-20365,0,High Value Customer
SV-20785,1,Lost Customer
SV-20815,0,High Value Customer
SV-20935,0,High Value Customer
SW-20245,1,Low Value Customer
SW-20275,0,High Value Customer
SW-20350,0,High Value Customer
SW-20455,0,High Value Customer
SZ-20035,1,Low Value Customer
TA-21385,0,High Value Customer
TB-21055,0,High Value Customer
TB-21175,1,Low Value Customer
TB-21190,0,High Value Customer
TB-21250,1,Low Value Customer
TB-21355,0,High Value Customer
TB-21400,0,High Value Customer
TB-21520,0,High Value Customer
TB-21625,0,High Value Customer
TC-20980,1,Low Value Customer
TC-21295,0,High Value Customer
TC-21475,0,High Value Customer
TC-21535,0,High Value Customer
TD-20995,0,High Value Customer
TG-21310,0,High Value Customer
TG-21640,0,High Value Customer
TH-21100,0,High Value Customer
TH-21115,0,High Value Customer
TH-21235,0,High Value Customer
TM-21010,1,Low Value Customer
TN-21040,0,High Value Customer
TP-21130,0,High Value Customer
TP-21415,0,High Value Customer
TP-21565,1,Lost Customer
TR-21325,0,High Value Customer
TS-21085,0,High Value Customer
TS-21160,0,High Value Customer
TS-21205,0,High Value Customer
TS-21340,0,High Value Customer
TS-21370,1,Low Value Customer
TS-21430,0,High Value Customer
TS-21505,0,High Value Customer
TS-21610,0,High Value Customer
TS-21655,1,Low Value Customer
TT-21070,0,High Value Customer
TT-21220,1,Lost Customer
TT-21265,0,High Value Customer
TT-21460,1,Low Value Customer
TW-21025,1,Lost Customer
TZ-21580,0,High Value Customer
VB-21745,0,High Value Customer
VD-21670,1,Lost Customer
VF-21715,0,High Value Customer
VG-21790,0,High Value Customer
VG-21805,0,High Value Customer
VM-21685,1,Low Value Customer
VM-21835,0,High Value Customer
VP-21730,0,High Value Customer
VS-21820,0,High Value Customer
VT-21700,1,Lost Customer
VW-21775,2,Low Value Customer
WB-21850,3,Top Customer
XP-21865,2,High Value Customer
YC-21895,0,High Value Customer
YS-21880,1,Low Value Customer
ZC-21910,2,Top Customer
ZD-21925,1,Low Value Customer
